username,repo_name,stars,repo_url
facebook,infer,12500,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,8900,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6200,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6000,https://github.com/SonarSource/sonarqube
facebook,pyre-check,5500,https://github.com/facebook/pyre-check
Kristories,awesome-guidelines,5000,https://github.com/Kristories/awesome-guidelines
simplecov-ruby,simplecov,4300,https://github.com/simplecov-ruby/simplecov
reviewdog,reviewdog,4100,https://github.com/reviewdog/reviewdog
phpro,grumphp,3600,https://github.com/phpro/grumphp
pmd,pmd,3500,https://github.com/pmd/pmd
PyCQA,pylint,3500,https://github.com/PyCQA/pylint
htmlhint,HTMLHint,2700,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2200,https://github.com/codeclimate/codeclimate
kucherenko,jscpd,2200,https://github.com/kucherenko/jscpd
trekhleb,state-of-the-art-shitcode,2000,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1800,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1600,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
urish,typewiz,1100,https://github.com/urish/typewiz
Tencent,feflow,1000,https://github.com/Tencent/feflow
jakzal,phpqa,932,https://github.com/jakzal/phpqa
joshuaclayton,unused,877,https://github.com/joshuaclayton/unused
imgbot,Imgbot,786,https://github.com/imgbot/Imgbot
SonarSource,SonarTS,773,https://github.com/SonarSource/SonarTS
pdepend,pdepend,764,https://github.com/pdepend/pdepend
bufferapp,android-guidelines,759,https://github.com/bufferapp/android-guidelines
SonarSource,SonarJS,734,https://github.com/SonarSource/SonarJS
sourcery-ai,sourcery,600,https://github.com/sourcery-ai/sourcery
maglnet,ComposerRequireChecker,597,https://github.com/maglnet/ComposerRequireChecker
grodowski,undercover,586,https://github.com/grodowski/undercover
